檢驗站站號,檢驗站站名,檢驗站地址,檢驗站市話
LC0,振盛機車行,臺中市太平區新高里廣三街22號1樓,(04)23957228
LC1,正大機車行,臺中市太平區光隆里光興路1038號,(04)22782967
LC2,千億車業,臺中市太平區宜欣里宜昌路391號1樓,(04)22731158
LC3,立成機車行,臺中市外埔區大東里甲后路五段51號1樓,(04)26874835
LC4,忠益機車行,臺中市石岡區萬安里豐勢路1131號1樓,(04)25722281
LC5,光輝機車行,臺中市后里區后里里三豐路三段969號,(04)25562809
LC6,明輝國際有限公司,臺中市后里區厚里里民生路35號1樓,(04)25563042
LC7,明元機車行,臺中市后里區厚里里甲后路一段742號1樓,(04)25564776
LC8,正峰機車行,臺中市后里區眉山里甲后路二段405號1樓,(04)25563651
LD0,內埔機車行,臺中市后里區墩東里文化路43號1樓,(04)25563797
LD1,尚旺機車行,臺中市沙鹿區北勢里北勢東路523號,(04)26529996
LD2,大統機車行,臺中市沙鹿區鹿寮里光華路320號1樓,(04)26652729
LD3,全營機車行,臺中市東勢區福隆里東坑路353號1樓,(04)25881630
LD4,正揚機車行,臺中市東勢區泰昌里東崎路五段456號1樓,(04)25888317
LD5,昭通機車行,臺中市東勢區粵寧里豐勢路574號1樓,(04)25872851
LD6,進昌輪業商行,臺中市烏日區九德里中山路一段490號,(04)23372265
LD7,正荃機車行,臺中市烏日區九德里興祥街103、105號1樓,(04)23370717
LD8,榮泰輪業商行,臺中市烏日區五光里五光路141號1樓,(04)23371714
LD9,煌原機車行,臺中市烏日區溪埧里溪南路一段730號1樓,(04)23353396
LE0,新傑機車行,臺中市神岡區社口里中山路776之1號,(04)25621780
LE1,三?機車行,臺中市神岡區社南里中山路719-5號1樓,(04)25628258
LE2,宏隆機車行,臺中市神岡區神岡里神岡路57號,(04)25616282
LE3,和炳車業行,臺中市梧棲區文化里中和街23號1樓,(04)26562678
LE4,伸發車業有限公司,臺中市清水區南寧里鰲峰路36號1樓,(04)26234222
LE5,信揮機車行,臺中市清水區北寧里中山路226號1樓,(04)26222032
LE6,瑞明車業行,臺中市清水區北寧里中山路306巷5號1樓,(04)26230615
LE7,鑫輪車業行,臺中市清水區南社里鰲峰路373號1樓,(04)26271949
LE8,昌平車行,臺中市潭子區潭秀里中山路二段508號,(04)25328736
LE9,侑輪機車行,臺中市潭子區潭秀里中山路二段532號,(04)25323431
LF0,益新機車行,臺中市潭子區潭秀里中山路二段522號,(04)25327270
LF1,正全宏輪業行,臺中市潭子區嘉仁里福潭路728號1樓,(04)25368084
LF2,三發機車行,臺中市潭子區栗林里祥和路126號,(04)25362199
LF3,國洲機車行,臺中市潭子區栗林里祥和路177號1樓,(04)25373336
LF4,崑崙車行,臺中市潭子區東寶里大豐路二段9號1樓,(04)25325817
LF5,源通機車行,臺中市潭子區潭陽里圓通南路199號1樓,(04)25350400
LF6,永新機車行,臺中市潭子區甘蔗里潭興路三段128號1樓,(04)25323580
LF7,江龍機車行,臺中市龍井區龍崗里沙田路四段598巷3號1樓,(04)26352647
LF8,合順機車行,臺中市龍井區新東里新興路42號1樓,(04)26321056
LF9,承旺機車行,臺中市龍井區新東里新興路51之3號,(04)26319040
LG1,永達機車行,臺中市豐原區社皮里大豐路五段465號,(04)25238069
LG2,毅泰輪業行,臺中市豐原區豐西里源豐路21號,(04)25223538
LG3,東光車業有限公司,臺中市豐原區社皮里成功路306號1樓,(04)25154255
LG4,金瓏機車行,臺中市豐原區西湳里三豐路二段119號1樓,(04)25224680
LG5,大春機車行,臺中市豐原區東勢里中山路382號,(04)25268503
LG6,東平機車行,臺中市豐原區圳寮里中山路579號,(04)25243600
LG7,定成機車零件廠,臺中市豐原區南村里水源路305號,(04)25228727
LG8,茂盛工業社,臺中市豐原區西安里西勢路160號,(04)25261855
LG9,祥興機車行,臺中市豐原區圳寮里圓環北路一段30號1樓,(04)25272391
LH0,正興機車行,臺中市豐原區圓環東路351號1樓,(04)25232675
LH1,綸泰企業(股)公司豐原分公司,臺中市豐原區圓環南路239號1樓,(04)25240756
LH2,偉昌機車行,臺中市豐原區中陽里豐陽路58號1樓,(04)25241398
LH3,源龍機車行,臺中市豐原區鎌村里鎌村路561號1樓,(04)25372222
LH4,長益車業有限公司,臺中市霧峰區中正路606號1樓,(04)23397115
LH5,玉豐機車行,臺中市霧峰區甲寅里中正路1179號1樓,(04)23300928
LH6,勝鴻車業行,臺中市潭子區潭陽里復興路二段114號1樓,(04)25361488
LH7,見來機車行,臺中市沙鹿區興仁里沙田路132號1樓,(04)26628734
LH8,大勝機車行,臺中市大里區立德里立仁路158號,(04)22780762
LH9,懿宏機車有限公司,臺中市大里區內新里益民路一段209號1樓,(04)24854199
LI0,建長機車行,臺中市新社區大南里中和街二段298號1樓,(04)25811165
LI1,大維機車行,臺中市霧峰區本堂里中正路767之7號1樓,(04)23337788
LI2,文政機車行,臺中市潭子區大豐路三段184號,(04)25355119
LI3,永一機車行,臺中市大肚區頂街里沙田路三段234號1樓,(04)26993798
