檢驗站站號,檢驗站站名,檢驗站地址,檢驗站市話
B97,瑞鎰車業商行,臺中市東區東勢里進化路207之4號,(04)23602043
B98,福興機車行,臺中市東區新庄里復興路4段9號1樓,(04)22268222
B99,順利機車行,臺中市東區樂成里樂業路257號1樓,(04)22131240
BA0,三元機車行,臺中市南屯區田心里五權西路二段540號1樓,(04)23897478
BA1,祥發機車行,臺中市南屯區文山里嶺東路842號1樓,(04)23829747
BA2,南美機車行,臺中市南屯區田心里向心路53號1樓,(04)23852658
BA3,玉鼎機車行,臺中市南屯區大同里東興路二段182號1樓,(04)24723427
BA4,答穩輪業有限公司,臺中市南屯區永定里南屯路二段689號,(04)23891710
BA5,上陽機車行,臺中市南屯區寶山里五權西路三段89號1樓,(04)23811505
BA6,源福興機車行,臺中市南屯區楓樹里黎明路一段196號,(04)24790456
BA7,富源行,臺中市中區柳川里臺灣大道一段396號1樓,(04)22225747
BA8,聯福機車行,臺中市南區城隍里忠孝路120號1樓,(04)22875020
BA9,元貴機車行,臺中市南區忠明南路681號1樓,(04)23754117
BB0,瑞安輪業商行,臺中市南區南和路136號1樓,(04)22627522
BB1,展昌車行,臺中市南區江川里建成路1802號,(04)22870252
BB2,國光車業行,臺中市南區南門里國光路375號1樓,(04)22878048
BB3,吉豐車行,臺中市南區和平里復興路二段36之6號1樓,(04)22610387
BB4,昇旺機車行,臺中市北屯區平安里北平路四段36號,(04)22371715
BB5,良翊輪業商行,臺中市北區永興街178號1樓,(04)22361127
BB6,振發機車行,臺中市南屯區田心里惠文南街266號1樓,(04)23846488
BB7,新民車業有限公司,臺中市北屯區平陽里大連路一段391號1樓,(04)22920555
BB8,大連機車專業商行,臺中市北屯區平福里大連路二段251號1樓,(04)22450338
BB9,廣昌機車行,臺中市南屯區三義里黎明路二段480號1樓,(04)22527224
BC0,富達機車行,臺中市北屯區舊社里遼寧路一段446號1樓,(04)22428597
BC1,坤益車業機車行,臺中市北屯區平順里大連路三段72號1樓,(04)22434163
BC2,鴻昌機車行,臺中市北屯區仁和里崇德路三段319號,(04)24210530
BC3,黎明機車行,臺中市南屯區三和里黎明路二段347號1樓,(04)22523887
BC4,燁群輪業行,臺中市北區崇德里進化北路120號1樓,(04)22301865
BC5,昌興機車行,臺中市南屯區楓樹里黎明路一段226號1樓,(04)24790197
BC6,吉佑機車行,臺中市西屯區廣福里廣福路322號,(04)27016229
BC7,五元車行,臺中市南屯區南屯里南屯路二段746號,(04)23897522
BC8,東峰機車行,臺中市北區育德里美德街209號1樓,(04)22067999
BC9,上益機車行,臺中市北屯區昌平路一段147號,(04)22454838
BD0,全億機車行,臺中市北區明德里太原路一段374號1樓,(04)22058189
BD1,暉凡車業有限公司,臺中市南區樹義里大慶街二段1之7號1樓,(04)22630575
BD2,暉祥汽車有限公司,臺中市西屯區大河里甘肅路二段122號,(04)23112388
BD3,聯宏輪業行,臺中市東區東信里十甲東路397號1樓,(04)22113888
BD4,宏恩機車行,台中市西屯區西屯路三段164-24號,(04)24619967
BD5,凱旭機車行,臺中市北區建興里崇德路一段254號1樓,(04)22354874
BD6,崑松機車行,台中市北屯區松竹里松竹路2段437號1樓,(04)22477847
BD7,金和機車行,台中市東區振興路369之28號,(04)22124386
BD8,見才商行,臺中市西區平和里民生路116號1樓,(04)22270979
BE0,弘永發車業,臺中市大雅區員林里中清路四段289號1樓、291號1樓,(04)25663069
BE1,新動力車業,臺中市大雅區員林里雅環路三段121號1樓,(04)25678794
BE2,成泰機車行,臺中市外埔區大東里甲后路五段67號1樓,(04)26800708
BE3,飛力機車行,臺中市沙鹿區興安里興安路50-2號1樓,(04)26352436
BE4,東岡機車行,臺中市龍井區山腳里沙田路六段231號,(04)26362803
BE5,駿成車業行,臺中市霧峰區本鄉里草湖路1號1樓,(04)23303982
BE6,宏益機車行,臺中市霧峰區萊園路15-8號1樓,(04)23397511
BE7,榮輪輪業行,臺中市北區中達里篤行路338號1、2樓,(04)22016838
BE8,展裕輪業行,臺中市北區賴旺里青島路一段24號1樓,(04)22938959
BE9,亞慶機車行,臺中市北屯區水景里東山路一段145之14號1樓,(04)24369097
BF0,合意機車行,臺中市大里區金城里塗城路792號1樓,(04)24931607
BF1,台力機車行,臺中市大里區長榮里大里路108之2號,(04)24811229
BF2,忠政機車行,臺中市大肚區福山里沙田路一段519之2號,(04)26933118
BF3,建達機車行,臺中市太平區宜昌里宜昌路540號1樓,(04)22768297
BF4,振武機車行,臺中市太平區新光里振武路10號1樓、12號1樓,(04)23952358
BF5,狄勇機車行,臺中市南區崇倫里建國北路一段257號1樓,(04)23731758
BF6,新日陽車業行,臺中市烏日區九德里中山路一段180號1樓,(04)23373323
BF7,速可達車業行,臺中市西屯區福聯里福科路899號1樓、2樓,(04)24629368
BF8,泰峰車業行,臺中市豐原區豐東路66號,(04)25293700
BF9,富暉車業有限公司,臺中市豐原區圓環北路2段121號1樓,(04)25268665
BG0,富達輪業行,臺中市豐原區向陽路370號,(04)25233696
BG1,大晉機車零件社,臺中市豐原區南嵩里水源路233號1樓,(04)25221783
BG2,愛車機車行,臺中市大雅區神林南路195號,(04)25601988
BG3,東祐機車行,臺中市太平區樹德路85之1號,(04)23982618
BG4,十甲車業行,臺中市東區十甲路357號,(04)22138643
BG5,春源機車行,臺中市西區模範街52號,(04)23015213
BG6,速可達車業有限公司,臺中市西屯區上石里西屯路二段269之46號1樓、269之47號1樓,(04)27083448
BG7,飛帆車業有限公司,臺中市南屯區永定里黎明路2段107號1樓,(04)23898852
BG8,五同輪業有限公司,臺中市南屯區大墩路71號,(04)24752666
BH0,新興機車行,臺中市東勢區下新里東蘭路74-2、74-12號,(04)25874151
BH1,永新機車行,臺中市大里區中興路二段850號1樓,(04)24865698
BH2,德勝機車行,臺中市太平區光興路1756號1樓,(04)22777681
BH3,冠泰機車行,臺中市沙鹿區鎮南路二段296號1樓,(04)26333029
BH4,松億機車行,臺中市沙鹿區北勢里英才路115號,(04)26335866
BH5,祐嘉車業行,臺中市沙鹿區居仁里中山路368號,(04)26655329
BH6,俊譽車業行,臺中市神岡區北庄里中山路1325-2號1樓,(04)25628281
